instruction,price,side,qty,time
newOrder,10465,0,68604,1685323479
newOrder,24999,1,68604,1685323479
cancel,10465,,,1685324055
cancel,17442,,,1685324055
cancel,19080,,,1685324055
cancel,24999,,,1685324055
newOrder,17441,0,15457,1685324078
newOrder,19080,1,15457,1685324078
newOrder,10464,0,50585,1685324078
newOrder,24999,1,50585,1685324078
cancel,10464,,,1685324654
cancel,17441,,,1685324654
cancel,19080,,,1685324654
cancel,24999,,,1685324654
newOrder,17321,0,14302,1685324677
newOrder,19080,1,14302,1685324677
newOrder,10393,0,46040,1685324677
newOrder,24999,1,46040,1685324677
cancel,10393,,,1685325254
cancel,17321,,,1685325254
cancel,19080,,,1685325254
cancel,24999,,,1685325254
newOrder,17321,0,14299,1685325277
newOrder,19080,1,14299,1685325277
newOrder,15111,0,12005,1685325277
cancel,15111,,,1685325854
cancel,17321,,,1685325854
cancel,19080,,,1685325854
newOrder,17321,0,14296,1685325879
newOrder,19080,1,14296,1685325879
newOrder,10393,0,61012,1685325879
newOrder,24999,1,61012,1685325879
cancel,10393,,,1685326454
cancel,17321,,,1685326454
cancel,19080,,,1685326454
cancel,24999,,,1685326454
newOrder,17321,0,14291,1685326479
newOrder,19080,1,14291,1685326479
newOrder,12302,0,23492,1685326479
newOrder,24957,1,23492,1685326479
cancel,12302,,,1685327054
cancel,17321,,,1685327054
cancel,19080,,,1685327054
cancel,24957,,,1685327054
newOrder,17320,0,14279,1685327079
newOrder,19080,1,14279,1685327079
newOrder,10392,0,54854,1685327079
newOrder,24999,1,54854,1685327079
cancel,10392,,,1685327654
cancel,17320,,,1685327654
cancel,19080,,,1685327654
cancel,24999,,,1685327654
newOrder,17321,0,14284,1685327679
newOrder,19080,1,14284,1685327679
newOrder,10393,0,73358,1685327679
newOrder,24999,1,73358,1685327679
cancel,10393,,,1685328255
cancel,17321,,,1685328255
cancel,19080,,,1685328255
cancel,24999,,,1685328255
newOrder,17321,0,14281,1685328280
newOrder,19080,1,14281,1685328280
newOrder,10393,0,42116,1685328280
newOrder,24999,1,42116,1685328280
cancel,10393,,,1685328855
cancel,17321,,,1685328855
cancel,19080,,,1685328855
cancel,24999,,,1685328855
newOrder,17321,0,14277,1685328879
newOrder,19080,1,14277,1685328879
newOrder,10393,0,46458,1685328879
newOrder,24999,1,46458,1685328879
cancel,10393,,,1685329456
cancel,17321,,,1685329456
cancel,19080,,,1685329456
cancel,24999,,,1685329456
newOrder,17321,0,14274,1685329479
newOrder,19080,1,14274,1685329479
newOrder,10393,0,60272,1685329479
newOrder,24999,1,60272,1685329479
cancel,10393,,,1685330055
cancel,17321,,,1685330055
cancel,19080,,,1685330055
cancel,24999,,,1685330055
newOrder,17321,0,14270,1685330079
newOrder,19080,1,14270,1685330079
newOrder,10393,0,75326,1685330079
newOrder,24999,1,75326,1685330079
cancel,10393,,,1685330655
cancel,17321,,,1685330655
cancel,19080,,,1685330655
cancel,24999,,,1685330655
newOrder,17321,0,14267,1685330677
newOrder,19080,1,14267,1685330677
newOrder,10393,0,61516,1685330677
newOrder,24999,1,61516,1685330677
cancel,10393,,,1685331254
cancel,17321,,,1685331254
cancel,19080,,,1685331254
cancel,24999,,,1685331254
newOrder,17321,0,14258,1685331277
newOrder,19080,1,14258,1685331277
newOrder,10392,0,62621,1685331277
newOrder,24999,1,62621,1685331277
cancel,10392,,,1685331855
cancel,17321,,,1685331855
cancel,19080,,,1685331855
cancel,24999,,,1685331855
newOrder,17321,0,14254,1685331879
newOrder,19080,1,14254,1685331879
newOrder,10392,0,75210,1685331879
newOrder,24999,1,75210,1685331879
cancel,10392,,,1685332455
cancel,17321,,,1685332455
cancel,19080,,,1685332455
cancel,24999,,,1685332455
newOrder,17321,0,14250,1685332478
newOrder,19080,1,14250,1685332478
newOrder,10392,0,37872,1685332478
newOrder,24957,1,37872,1685332478
cancel,10392,,,1685333054
cancel,17321,,,1685333054
cancel,19080,,,1685333054
cancel,24957,,,1685333054
